,Fairness Metric,Fairness Metric,Fairness Metric,Compatibility,Compatibility,Compatibility,Allocation,Allocation,Allocation,Allocation,Results,Results,nDCG,Exposure,Exposure,Exposure
36,0.5740740740740741,0.8888888888888888,0.8888888888888888,0.15374218032876188,0.15374218032876188,0.0,0.0,1.0,0.0,0,"[('1435', 3.4141415681279654), ('929', 3.3738481238551072), ('523', 3.298293529407607), ('124', 3.2631822351231747), ('1821', 3.2553438683616602), ('2413', 3.245616369232076), ('4728', 3.233606759845818), ('1890', 3.231514047543443), ('2014', 3.2286094256271762), ('2308', 3.2283744379089607), ('4649', 3.228332962208763), ('74', 3.227794848536292), ('4627', 3.216783378187604), ('2117', 3.2160104927301245), ('864', 3.1998408735781845), ('3137', 3.1997229405561574), ('313', 3.199479105845613), ('1031', 3.198854958754824), ('1659', 3.1926784331024005), ('1382', 3.192538600581534), ('2949', 3.1920614430092225), ('4756', 3.1890287324814257), ('1476', 3.188113939813307), ('1947', 3.17514954633116), ('2680', 3.1742693567619784), ('1134', 3.1720579651730434), ('2044', 3.1651213931417295), ('1107', 3.164808915463472), ('2231', 3.163866377604564), ('1270', 3.160627463236844), ('4675', 3.1594044413352194), ('3955', 3.159079019837069), ('1052', 3.157306732422972), ('1794', 3.15696555277288), ('2170', 3.156698206971509), ('2721', 3.1538794647555766), ('1181', 3.1521270038128217), ('827', 3.1496928022366957), ('2383', 3.1478713904579947), ('683', 3.1473902194610908), ('3104', 3.142595738081232), ('1961', 3.1416829846509153), ('1091', 3.139394551646644), ('3477', 3.138127175989734), ('1658', 3.1366835326254194), ('1652', 3.135741478530113), ('765', 3.134905330579298), ('1880', 3.134503267099655), ('1603', 3.13378193835057), ('2831', 3.131574693577456)]","[('4756', 38.833333333333336), ('2044', 36.611111111111114), ('1107', 36.166666666666664), ('4675', 34.833333333333336), ('1435', 34.27777777777778), ('929', 33.833333333333336), ('523', 33.388888888888886), ('124', 32.94444444444444), ('1821', 32.5), ('2413', 32.05555555555556)]",0.9479371519398291,0.0,0.4,0.0
37,0.5585585585585586,0.918918918918919,0.8648648648648649,0.0,0.21084230031853216,0.0,0.0,1.0,0.0,0,"[('202', 3.3872708090287618), ('1189', 3.356916987297966), ('1874', 3.2984496113441066), ('1395', 3.293888668238552), ('1640', 3.271074596268744), ('1889', 3.2651778216361023), ('4601', 3.2562723227413373), ('924', 3.2320696288001747), ('730', 3.2278658303249226), ('1849', 3.206521746995931), ('2449', 3.203479045821817), ('647', 3.2021303154459138), ('450', 3.2006699516463684), ('939', 3.2000004994363724), ('2297', 3.1932461291739633), ('2048', 3.192896722415947), ('1389', 3.1928671863821987), ('4649', 3.186099351893622), ('4731', 3.1852305267399115), ('1186', 3.1847410382422376), ('74', 3.1832270368318554), ('607', 3.177460527045253), ('1226', 3.174761838117223), ('487', 3.1744179846930844), ('829', 3.1721110201452998), ('1382', 3.1720056323723473), ('1404', 3.170854795632539), ('2955', 3.1702638427021452), ('4712', 3.1696093606762035), ('724', 3.1683278688904877), ('3071', 3.167258359823225), ('1421', 3.1669103485841648), ('664', 3.1650781885827204), ('2429', 3.1625439481513604), ('858', 3.16235106128266), ('1325', 3.157712103009543), ('1633', 3.156653731656375), ('4', 3.15566694618591), ('1696', 3.155421253109217), ('2047', 3.155037003224246), ('627', 3.154274477349631), ('1540', 3.1537922266725182), ('3428', 3.153014292529675), ('4894', 3.151429891019005), ('3314', 3.150985570847943), ('1788', 3.1469323250149364), ('404', 3.144071973281313), ('45', 3.143356618848392), ('327', 3.1394734650960134), ('43', 3.1390477332542073)]","[('1849', 43.611111111111114), ('607', 38.27777777777778), ('3071', 34.27777777777778), ('202', 33.72222222222222), ('1189', 33.27777777777778), ('1874', 32.833333333333336), ('858', 32.5), ('1395', 32.388888888888886), ('1640', 31.944444444444443), ('1889', 31.5)]",0.9578667191017934,0.1,0.4,0.0
38,0.5526315789473684,0.9473684210526315,0.8421052631578947,0.1222915970693747,0.2863969571159562,0.1222915970693747,1.0,0.0,0.0,0,"[('993', 3.318557232854982), ('3382', 3.259764326381661), ('639', 3.2501602197043975), ('646', 3.2315484612061707), ('264', 3.2287510160513464), ('2448', 3.2243053967027255), ('838', 3.220958015786865), ('127', 3.214675192268731), ('4780', 3.211222845786745), ('477', 3.2096639328325063), ('4833', 3.2055668817644474), ('34', 3.202840068697997), ('2897', 3.197952971335742), ('662', 3.1958228932018984), ('204', 3.194914630763248), ('521', 3.1909905137702506), ('2710', 3.18351425050719), ('293', 3.1833145304606894), ('357', 3.1805281310192792), ('199', 3.179254990746514), ('1678', 3.169823022847022), ('2355', 3.1690070848054335), ('2349', 3.1677557401899445), ('4598', 3.162997535690076), ('1291', 3.162848068509529), ('1359', 3.160448167485696), ('1899', 3.160250879844645), ('873', 3.154768385595656), ('1877', 3.153413692997753), ('2233', 3.152848566975187), ('1349', 3.1519300314221863), ('1098', 3.1517014518647186), ('1164', 3.147724826505041), ('2627', 3.147719833542227), ('564', 3.147574014444088), ('2803', 3.1475353402968373), ('4006', 3.1475209183269284), ('3491', 3.1470491300601324), ('4946', 3.1455823187730063), ('4581', 3.1442908301779116), ('938', 3.143667061835831), ('1105', 3.1435123532030724), ('542', 3.1434645083048283), ('2830', 3.141765902285942), ('1153', 3.1361439386153993), ('2275', 3.135670474993875), ('619', 3.1333410352834394), ('0', 3.1332685639186115), ('1781', 3.1300485776909985), ('2458', 3.129427877562376)]","[('4780', 44.888888888888886), ('1349', 35.111111111111114), ('993', 34.55555555555556), ('3382', 34.111111111111114), ('639', 33.666666666666664), ('646', 33.22222222222222), ('264', 32.77777777777778), ('2448', 32.333333333333336), ('838', 31.88888888888889), ('4946', 31.555555555555557)]",0.9785828137284519,0.3,0.1,0.0
39,0.5641025641025642,0.9358974358974359,0.8205128205128205,0.09533266993067127,0.2075271227213974,0.06835451705887766,1.0,0.0,0.0,0,"[('147', 3.550340476768133), ('260', 3.330318303111792), ('2373', 3.2892885002681207), ('954', 3.276027964701235), ('1637', 3.2254602136760915), ('2290', 3.218477667321791), ('850', 3.21560459333162), ('2314', 3.1843965328236625), ('639', 3.1838885929232794), ('378', 3.1826082934022977), ('2356', 3.177542914549542), ('1874', 3.1711552264947205), ('2351', 3.1618677619136912), ('257', 3.1593023888404734), ('20', 3.158974720573789), ('2961', 3.1523808183452577), ('2500', 3.15097881110442), ('3382', 3.1497615261201326), ('1244', 3.146578983288042), ('1213', 3.1451474976898566), ('2079', 3.1441610886321567), ('4939', 3.1430884186948016), ('982', 3.1426950340042517), ('4680', 3.1386297995860795), ('2872', 3.136937481584241), ('3135', 3.133563860270519), ('1480', 3.1279998029180276), ('3347', 3.127204655606101), ('2150', 3.126545604927551), ('125', 3.125913073761946), ('2092', 3.1255329951042263), ('495', 3.12419494753752), ('1182', 3.1231583367456586), ('4592', 3.1219373376220583), ('2940', 3.121299198451676), ('3537', 3.1212868595776855), ('1590', 3.1199348517336585), ('1117', 3.1167166370947856), ('299', 3.1166606577112685), ('1632', 3.1160326770321785), ('2721', 3.1140102869032047), ('697', 3.11126426201308), ('1128', 3.1097863078259462), ('1833', 3.1094031311791634), ('376', 3.1086524178325337), ('413', 3.10671388593041), ('502', 3.0999847022180718), ('4688', 3.0990551727526188), ('3549', 3.0986621810994137), ('1134', 3.098476801890193)]","[('2356', 44.27777777777778), ('257', 42.94444444444444), ('147', 34.833333333333336), ('260', 34.388888888888886), ('2373', 33.94444444444444), ('954', 33.5), ('1637', 33.05555555555556), ('2290', 32.611111111111114), ('850', 32.166666666666664), ('2314', 31.72222222222222)]",0.9560398623741572,0.2,0.4,0.0
40,0.5666666666666668,0.9625,0.7999999999999999,0.02576454913517821,0.12976285905304208,0.06507307495461,1.0,0.0,0.0,0,"[('1095', 3.4544059243442646), ('147', 3.450562550763614), ('2430', 3.3301528542300782), ('188', 3.3237243129365233), ('34', 3.281699367247902), ('34', 3.281699367247902), ('1670', 3.27207855610443), ('929', 3.257278312832732), ('3', 3.248020824099673), ('1125', 3.241733779248186), ('465', 3.2245803981239733), ('4727', 3.2165227113807475), ('156', 3.209977332600809), ('2600', 3.1994069151603166), ('4982', 3.1978169298091363), ('1975', 3.1938300801800263), ('2028', 3.190076701015896), ('1690', 3.189663244264588), ('2197', 3.1892148986022923), ('568', 3.187678977099499), ('963', 3.185503155741578), ('1961', 3.183548146356511), ('2444', 3.1753481616213914), ('968', 3.169580511164097), ('1364', 3.167094509771104), ('2435', 3.1649653520704577), ('1567', 3.1648772395126), ('682', 3.1642497430959815), ('1651', 3.159789511752875), ('3356', 3.158536918271645), ('525', 3.15797810458536), ('699', 3.15526185929433), ('1206', 3.155085619748407), ('588', 3.154313211999649), ('997', 3.1514561526177056), ('523', 3.150420677380965), ('3060', 3.149548095688263), ('391', 3.1482168280702885), ('3701', 3.1479527721285065), ('2229', 3.147827166228402), ('2698', 3.1474231678039692), ('190', 3.146909979402641), ('473', 3.1461176053227344), ('2721', 3.1454412522853863), ('1591', 3.145314226958217), ('4657', 3.1448935583761286), ('229', 3.1440123625794247), ('933', 3.134860361265352), ('1077', 3.133519988235591), ('1172', 3.1334042384888625)]","[('2600', 41.55555555555556), ('568', 38.888888888888886), ('963', 38.44444444444444), ('1567', 35.77777777777778), ('1095', 33.27777777777778), ('147', 32.833333333333336), ('2430', 32.388888888888886), ('188', 31.944444444444443), ('34', 31.5), ('1670', 31.055555555555557)]",0.9389752787899189,0.4,0.4,0.1
41,0.5853658536585366,0.9878048780487805,0.8292682926829268,0.0,0.0,0.3274449191544763,0.0,0.0,1.0,0,"[('1859', 3.5988551527620234), ('260', 3.3981642799517093), ('426', 3.3501942907940134), ('178', 3.3185051330970325), ('188', 3.3063932708279085), ('1482', 3.2745947108832274), ('1578', 3.257927452258551), ('2547', 3.2430289596370705), ('793', 3.2356830570363955), ('1243', 3.2316416623909503), ('254', 3.228425838194476), ('3614', 3.2281838848830975), ('1975', 3.218977082701199), ('1155', 3.212783544678839), ('985', 3.2100738435736424), ('4833', 3.205176185187276), ('1075', 3.20263917874247), ('4748', 3.202175628521846), ('1397', 3.2016652429891965), ('1332', 3.2005467264193737), ('4585', 3.199743867945036), ('2837', 3.1976100777337892), ('1223', 3.194437913785958), ('4078', 3.191672153069765), ('1984', 3.188154418391765), ('226', 3.186900798526491), ('1946', 3.1836221082187026), ('2229', 3.1835621223560437), ('1467', 3.178473707409688), ('3356', 3.1772751965359873), ('2014', 3.1766805162236706), ('1452', 3.176085649655438), ('986', 3.174750074701373), ('1804', 3.1730144820913866), ('2589', 3.1724278877649623), ('3024', 3.1719808132041685), ('1728', 3.171756430732614), ('980', 3.1690985997257557), ('594', 3.1678066644137908), ('4592', 3.165959238964498), ('2874', 3.162736461279924), ('1371', 3.1604138497864187), ('997', 3.1574192956112914), ('2088', 3.156621037727518), ('1967', 3.1539237805801603), ('3377', 3.1537367420669393), ('1336', 3.152193540497293), ('1539', 3.152041505892855), ('669', 3.151633543891776), ('2422', 3.1513370710581863)]","[('793', 45.44444444444444), ('1859', 35.111111111111114), ('260', 34.666666666666664), ('426', 34.22222222222222), ('178', 33.77777777777778), ('188', 33.333333333333336), ('1482', 32.888888888888886), ('1578', 32.44444444444444), ('2547', 32.0), ('1243', 31.11111111111111)]",0.9708067803167486,0.0,0.1,0.1
42,0.5714285714285715,0.9761904761904762,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,1,"[('319', 3.36296506064686), ('675', 3.3398306585828443), ('2485', 3.316593119153754), ('538', 3.2653048682578056), ('2466', 3.247435995200244), ('3', 3.2371845881627994), ('2087', 3.2298921292368217), ('487', 3.199929939700611), ('2375', 3.1932890969282437), ('523', 3.190735494773468), ('2269', 3.1838272479403074), ('1866', 3.182214895472993), ('1820', 3.1815074117618884), ('3142', 3.177568243642392), ('796', 3.1725917325375113), ('1780', 3.1717953529690917), ('1687', 3.1699617392582935), ('3445', 3.1686522553584786), ('628', 3.16781649689689), ('1708', 3.1673399422029656), ('1969', 3.1585339185452352), ('66', 3.1585041508461855), ('1645', 3.1576137835134617), ('823', 3.157496012385814), ('936', 3.1572923642773256), ('454', 3.156155873399535), ('781', 3.1560255083489217), ('1184', 3.1542074797459243), ('2486', 3.1521777552688364), ('1112', 3.151285453445865), ('2292', 3.147870516954245), ('3087', 3.146234252167716), ('4581', 3.1458706549198023), ('1986', 3.1439796415473724), ('311', 3.1422223375997995), ('1878', 3.1418691277067956), ('1385', 3.139313524948903), ('2872', 3.138021126364827), ('3274', 3.13705714269959), ('1477', 3.1348597378621252), ('942', 3.133801532950941), ('2062', 3.1330936920071895), ('445', 3.1318455498219384), ('2012', 3.1296956977220236), ('3202', 3.128258221689502), ('2445', 3.1274479045949835), ('1193', 3.1269403041220594), ('2372', 3.124207803370791), ('2265', 3.123750254401736), ('2951', 3.1215496316025315)]","[('319', 49.0), ('675', 48.0), ('2485', 47.0), ('538', 46.0), ('2466', 45.0), ('3', 44.0), ('2087', 43.0), ('487', 42.0), ('2375', 41.0), ('523', 40.0)]",1.0,0.0,0.0,0.1
43,0.5581395348837209,0.9534883720930233,0.883720930232558,0.13110652958234506,0.13110652958234506,0.0,1.0,0.0,0.0,0,"[('4630', 3.2765979262243135), ('2053', 3.258425339084046), ('175', 3.2125675047579394), ('2778', 3.1986133634396916), ('2489', 3.19766418706912), ('4969', 3.1975620310486867), ('1707', 3.1941530792460906), ('47', 3.189501683393215), ('2007', 3.188157835246838), ('2149', 3.1838831334084143), ('1320', 3.1818202996345315), ('97', 3.1790397283700162), ('2444', 3.177934258154836), ('2703', 3.1733919841677416), ('852', 3.171131194762645), ('3178', 3.168091970104352), ('1668', 3.161495710087005), ('2847', 3.150680876520048), ('648', 3.149332476245186), ('883', 3.1483163691509515), ('4966', 3.147849332042626), ('3127', 3.1437933779305576), ('2297', 3.139675145663223), ('48', 3.1391144797203867), ('405', 3.1389580368942984), ('367', 3.1389131247755935), ('969', 3.136720860736917), ('1329', 3.1342442747194297), ('2970', 3.1330244874036217), ('2092', 3.1324268048157147), ('487', 3.131453522659276), ('698', 3.12666827444919), ('3569', 3.125324722806528), ('3118', 3.124866495403996), ('4469', 3.1240848112003063), ('463', 3.1213168188282348), ('2625', 3.12072021468073), ('5', 3.1204753138309904), ('2505', 3.120304501879346), ('972', 3.1136401436579053), ('1767', 3.108953446110454), ('1111', 3.1074713785403008), ('4910', 3.105979971462441), ('2192', 3.1054077737893153), ('1056', 3.1031554681253133), ('519', 3.102719728362801), ('2245', 3.101190472385842), ('4904', 3.1007288598110607), ('3110', 3.0995075029745984), ('0', 3.0974836259724365)]","[('4630', 35.388888888888886), ('2053', 34.94444444444444), ('175', 34.5), ('2778', 34.05555555555556), ('2489', 33.611111111111114), ('4969', 33.166666666666664), ('1707', 32.72222222222222), ('47', 32.27777777777778), ('2007', 31.833333333333332), ('2149', 31.38888888888889)]",1.0,0.0,0.2,0.0
44,0.5454545454545455,0.9545454545454546,0.8636363636363636,0.11780940345403432,0.13110652958234506,0.15649106290570153,0.0,0.0,1.0,0,"[('260', 3.3919416590860036), ('1061', 3.3414934707688735), ('2909', 3.2777122106083776), ('2635', 3.229851018726396), ('4970', 3.2161050115419587), ('3506', 3.2090631649715764), ('124', 3.208266381383762), ('2345', 3.1934371214621073), ('824', 3.190469005958696), ('2136', 3.1816222318920455), ('1161', 3.1786962974816726), ('4734', 3.1776606262156166), ('447', 3.17600611759539), ('1666', 3.1711077039217628), ('2536', 3.167404318660895), ('1429', 3.1671064577463177), ('2877', 3.163254140890749), ('89', 3.1586854003298073), ('1283', 3.1583486944590455), ('1538', 3.156786732473177), ('804', 3.1537340186370333), ('2519', 3.1515075496146436), ('636', 3.1496568138433116), ('465', 3.1481254326659456), ('2683', 3.1467524367975814), ('1050', 3.146483131955982), ('2821', 3.1464215547132444), ('483', 3.1462672161335723), ('3320', 3.144790818951553), ('3395', 3.1441357390772393), ('300', 3.143140193875105), ('1069', 3.1394406759779137), ('1069', 3.1394406759779137), ('150', 3.1361431648099485), ('4730', 3.136060564211902), ('976', 3.1341913294618178), ('719', 3.1318051398634736), ('589', 3.1311773713269027), ('2654', 3.1298001550191694), ('3912', 3.1270805501295245), ('3118', 3.12430649397773), ('2942', 3.1198424610299567), ('1804', 3.1180191207266446), ('2305', 3.1143712361088127), ('1571', 3.1139777360487066), ('1290', 3.1122452637220057), ('388', 3.1116919829784013), ('4073', 3.1105663182799184), ('2371', 3.1101271152404255), ('3280', 3.109752435635389)]","[('260', 34.388888888888886), ('1061', 33.94444444444444), ('2909', 33.5), ('2635', 33.05555555555556), ('4970', 32.611111111111114), ('3506', 32.166666666666664), ('124', 31.72222222222222), ('2345', 31.27777777777778), ('824', 30.833333333333332), ('2136', 30.38888888888889)]",1.0,0.0,0.1,0.0
45,0.5333333333333333,0.9444444444444444,0.8444444444444444,0.07201647168541384,0.12653159222336471,0.0,1.0,0.0,0.0,0,"[('2171', 3.522675871606689), ('649', 3.426326712648048), ('2389', 3.367659240868401), ('1380', 3.301373293131741), ('260', 3.3001615325228606), ('2683', 3.2712776987988184), ('661', 3.269764232090827), ('441', 3.248889258163645), ('1748', 3.2436750797991674), ('1967', 3.2264432164622496), ('277', 3.2111957942544067), ('1640', 3.20566678932922), ('2140', 3.1913707709303507), ('1210', 3.185901889951105), ('3537', 3.185315218255667), ('1050', 3.184797982611794), ('886', 3.183091926915784), ('2339', 3.1825187676539612), ('2287', 3.1819413178814657), ('1611', 3.1779354826565185), ('4780', 3.1764238516904197), ('1337', 3.169934047745717), ('4569', 3.1651606963843797), ('3375', 3.1644174805586402), ('2265', 3.162683905317575), ('1406', 3.162017145425502), ('316', 3.1619622973604584), ('3204', 3.1608756753355647), ('2372', 3.157345205432352), ('4602', 3.1556107113945315), ('2119', 3.1547371590644926), ('2490', 3.150068545480725), ('1686', 3.1491252205279), ('1421', 3.147690556592623), ('572', 3.1455521325266838), ('466', 3.1447722972075502), ('1316', 3.144192847122132), ('933', 3.1416625370149474), ('2008', 3.1405857011195226), ('4680', 3.1402050922760836), ('2295', 3.1350600566061484), ('760', 3.1339970162265813), ('981', 3.1330836708611205), ('1729', 3.1315677690761667), ('15', 3.1314285546833514), ('1615', 3.1307462083503634), ('52', 3.129574714449842), ('849', 3.1287900168140155), ('4110', 3.1286786583179103), ('1764', 3.1271451621115824)]","[('441', 44.22222222222222), ('1748', 43.77777777777778), ('4780', 38.44444444444444), ('1406', 36.22222222222222), ('2171', 33.44444444444444), ('649', 33.0), ('2389', 32.55555555555556), ('1380', 32.111111111111114), ('260', 31.666666666666668), ('2683', 31.22222222222222)]",0.9463210730081673,0.4,0.2,0.0
46,0.5507246376811594,0.9456521739130433,0.826086956521739,0.24229218908241482,0.0,0.0,1.0,0.0,0.0,0,"[('761', 3.3160497406367497), ('918', 3.298322993075349), ('89', 3.2900834171638444), ('4868', 3.2315916906053084), ('969', 3.228645862173154), ('2175', 3.2251875744058864), ('1646', 3.2192567235514096), ('843', 3.199703256314752), ('2169', 3.1952556346263647), ('896', 3.1913764679413013), ('565', 3.1907953339464328), ('3200', 3.183208427230047), ('1589', 3.182939714254875), ('793', 3.1821275927347004), ('814', 3.1774037164030786), ('4744', 3.177310289426026), ('4707', 3.176383572838896), ('150', 3.170876382480799), ('2883', 3.1689592179627724), ('3186', 3.168697629821235), ('2743', 3.166300843188716), ('177', 3.162083892472868), ('997', 3.1619868314017254), ('84', 3.157175006514261), ('1717', 3.1559821368642775), ('2295', 3.1543854457904916), ('1542', 3.15419624917129), ('3224', 3.1539408227863177), ('1370', 3.153143231555516), ('3342', 3.152742442816941), ('804', 3.1525418374577536), ('1807', 3.152167179446525), ('62', 3.148069679412062), ('2403', 3.147017521934654), ('1024', 3.146892628862739), ('1154', 3.1433094587020216), ('3622', 3.142575168847092), ('1931', 3.140139477319041), ('1140', 3.1394011605601593), ('414', 3.1378067659588256), ('567', 3.135941243445488), ('1739', 3.1345449756906896), ('3513', 3.133320392023053), ('1352', 3.1318385709351166), ('3215', 3.131139538954816), ('2307', 3.130475508034463), ('2316', 3.1302927466690864), ('423', 3.1287265174046603), ('1033', 3.1285787988106497), ('3286', 3.1274595594081447)]","[('89', 47.27777777777778), ('1589', 42.833333333333336), ('814', 41.94444444444444), ('3224', 36.166666666666664), ('761', 34.27777777777778), ('918', 33.833333333333336), ('4868', 32.94444444444444), ('969', 32.5), ('2175', 32.05555555555556), ('1646', 31.61111111111111)]",0.9835612066219028,0.4,0.0,0.0
47,0.5673758865248227,0.925531914893617,0.8085106382978724,0.12653159222336471,0.12653159222336471,0.07201647168541384,1.0,0.0,0.0,0,"[('1665', 3.270966304810098), ('750', 3.2303894391390324), ('1228', 3.2186683012133406), ('485', 3.217698803898538), ('4649', 3.215968202879804), ('201', 3.2124462689996225), ('1678', 3.203806671049662), ('3003', 3.2010779886099017), ('4670', 3.1943351285793127), ('475', 3.1936812685351663), ('2098', 3.19285110196226), ('4702', 3.1865732774959024), ('1815', 3.186097496887917), ('1419', 3.184658485113525), ('4800', 3.1823271859231155), ('4786', 3.1798344182404654), ('1946', 3.1788475107707126), ('28', 3.175572891719885), ('1963', 3.170243167713698), ('681', 3.167752401844473), ('146', 3.163241005583218), ('2498', 3.1627558183666644), ('816', 3.161917592435749), ('2238', 3.1595005727021612), ('1972', 3.158801709785331), ('2673', 3.153196708013982), ('2346', 3.1517767049551813), ('1562', 3.151633243964446), ('3013', 3.1495360354625954), ('4602', 3.1482794796069373), ('36', 3.145742949986845), ('4732', 3.1431665267627924), ('706', 3.1424481363298384), ('2158', 3.1384318842587824), ('1894', 3.137909039494669), ('3130', 3.1377178536884207), ('1727', 3.1358683364845636), ('4803', 3.1352391910735045), ('125', 3.1334511255566655), ('286', 3.1332980816514637), ('3670', 3.128139371239017), ('2124', 3.127794617833873), ('334', 3.1259256072255246), ('2581', 3.125847360120368), ('4822', 3.125231657071525), ('1309', 3.123761295607453), ('1392', 3.120676184451673), ('1794', 3.1193312689815507), ('2922', 3.1185475206455844), ('3287', 3.118205025252472)]","[('485', 46.833333333333336), ('4670', 44.611111111111114), ('1419', 42.388888888888886), ('4800', 41.94444444444444), ('1665', 34.27777777777778), ('750', 33.833333333333336), ('1228', 33.388888888888886), ('4649', 32.5), ('201', 32.05555555555556), ('1678', 31.61111111111111)]",0.9893258435496128,0.4,0.1,0.2
48,0.5833333333333334,0.9166666666666665,0.8749999999999999,0.43949698692151334,0.13110652958234506,0.0,1.0,0.0,0.0,0,"[('659', 3.3709877245114943), ('761', 3.318156375891819), ('3445', 3.258563292144794), ('188', 3.2551756967733994), ('4758', 3.255077997092333), ('1217', 3.2467983708159096), ('1687', 3.2336986987150973), ('654', 3.2288544198926523), ('31', 3.2258969899060044), ('601', 3.2252578421350235), ('1727', 3.2202994883958085), ('872', 3.2110606015159897), ('1589', 3.197292751148533), ('2908', 3.1871416985689867), ('2132', 3.1795694133221595), ('1905', 3.1740598499754693), ('97', 3.173392865458745), ('4655', 3.1682280500357747), ('1029', 3.1663061832000134), ('421', 3.1635552292587423), ('2113', 3.16197947974103), ('295', 3.158069487194308), ('3912', 3.157463105636463), ('2175', 3.1571147562953454), ('701', 3.155921775514128), ('1079', 3.154566669473698), ('550', 3.1528438237078724), ('1150', 3.150886486966236), ('1685', 3.1491380070237733), ('678', 3.1486158937884414), ('469', 3.146065657696314), ('1324', 3.14554471079365), ('3863', 3.1446402846920196), ('2938', 3.1443142802007618), ('3992', 3.143165337896637), ('1949', 3.142815878881409), ('2398', 3.141660276584874), ('3237', 3.1397089680812122), ('2275', 3.1375885931854555), ('126', 3.137523254065684), ('198', 3.1372987605682083), ('538', 3.1350837754410965), ('1379', 3.1346081880447607), ('2064', 3.1343460908278864), ('2963', 3.133665765331384), ('919', 3.13314028570298), ('303', 3.1313664410696505), ('4648', 3.129350418343658), ('2329', 3.1279649008716186), ('393', 3.1268831489083615)]","[('3445', 47.55555555555556), ('872', 43.55555555555556), ('1589', 43.111111111111114), ('659', 34.55555555555556), ('761', 34.111111111111114), ('188', 33.22222222222222), ('4758', 32.77777777777778), ('1217', 32.333333333333336), ('1687', 31.88888888888889), ('654', 31.444444444444443)]",0.9800783862842569,0.3,0.0,0.0
49,0.5918367346938775,0.8979591836734693,0.8571428571428571,0.0,0.1222915970693747,0.0,0.0,1.0,0.0,0,"[('176', 3.460464069770989), ('1440', 3.3682183004741715), ('2909', 3.2631505521685034), ('1874', 3.262579339279227), ('3344', 3.226018996150692), ('115', 3.2218012121825783), ('4859', 3.2204796673376017), ('97', 3.212329570087184), ('421', 3.2037034817634282), ('389', 3.195875179849592), ('1778', 3.1912494963347764), ('221', 3.1896191406167698), ('601', 3.183959149688996), ('473', 3.1832218717390446), ('2210', 3.176864576900497), ('150', 3.1755845564574665), ('1938', 3.174652263036893), ('4866', 3.1656205997797495), ('346', 3.1651265691589994), ('1659', 3.1562487432645296), ('4581', 3.1557614702196415), ('2910', 3.1545910369915537), ('504', 3.153477358424388), ('90', 3.153004269643053), ('951', 3.1526582720584724), ('3161', 3.1507825012167974), ('2257', 3.149447264851107), ('475', 3.145943027250636), ('4817', 3.1456437040266327), ('2398', 3.145636596272504), ('1626', 3.143371059802764), ('2680', 3.1422584723074065), ('121', 3.1393054772417113), ('2911', 3.1384156873082385), ('1071', 3.136343111460802), ('1205', 3.134891143047371), ('793', 3.1337053732374063), ('2747', 3.1309132979242), ('837', 3.130390772308049), ('2430', 3.1286067388481995), ('4572', 3.1262947176920934), ('2233', 3.1244792363190133), ('878', 3.123866207496288), ('1039', 3.123086519060234), ('2534', 3.1228205152034745), ('2415', 3.1225885874771495), ('2035', 3.122001947588963), ('3055', 3.1211267084787893), ('3492', 3.121039564027785), ('1004', 3.121003146840446)]","[('2909', 46.166666666666664), ('4859', 44.388888888888886), ('2210', 40.833333333333336), ('4866', 39.5), ('1626', 33.72222222222222), ('176', 33.166666666666664), ('1440', 32.72222222222222), ('1874', 31.833333333333332), ('3344', 31.38888888888889), ('115', 30.944444444444443)]",0.9587599556775941,0.0,0.5,0.1
